iso3,country,leader_name,leader_dob,leader_age,leader_percentile,leader_ex,population_median,population_ex,age_gap,ex_gap,ofi
AFG,Afghanistan,Hibatullah Akhundzada,1967-10-19,58.0,95.291,20.59,18.0,55.895,40.0,-35.305,0.8000733044540356
AGO,Angola,João Lourenço,1954-03-05,72.0,98.756,10.553,17.0,54.97,55.0,-44.418,0.9018798892683364
ALB,Albania,Edi Rama,1964-07-04,62.0,77.723,23.276,38.0,46.413,24.0,-23.137,0.6037234536606972
AND,Andorra,Xavier Espot Zamora,1979-10-30,46.0,51.229,40.438,45.0,40.438,1.0,0.0,0.20661760170259777
ARE,United Arab Emirates,Mohamed bin Zayed Al Nahyan,1961-03-11,65.0,98.168,20.49,32.0,54.187,33.0,-33.697,0.7956975028237805
ARG,Argentina,Javier Milei,1970-10-22,55.0,77.771,26.349,34.0,49.378,21.0,-23.03,0.6027604734331319
ARM,Armenia,Nikol Pashinyan,1975-06-01,51.0,68.688,28.779,38.0,42.589,13.0,-13.81,0.4640440496332218
ATG,Antigua and Barbuda,Gaston Browne,1967-02-09,59.0,79.482,26.624,37.0,44.85,22.0,-18.226,0.5546844346112482
AUS,Australia,Anthony Albanese,1963-03-02,63.0,79.267,26.626,39.0,50.074,24.0,-23.448,0.6130507885431136
AUT,Austria,Christian Stocker,1960-03-20,66.0,79.771,20.546,44.0,43.266,22.0,-22.72,0.6070766178992566
AZE,Azerbaijan,Ilham Aliyev,1961-12-24,64.0,89.14,19.583,35.0,41.912,29.0,-22.329,0.6371952945003073
BDI,Burundi,Évariste Ndayishimiye,1968-06-17,58.0,95.431,20.816,17.0,53.732,41.0,-32.916,0.7765695714701506
BEL,Belgium,Bart De Wever,1970-12-21,55.0,65.261,29.409,43.0,43.451,12.0,-14.041,0.45508876441854723
BEN,Benin,Romuald Wadagni,1976-06-20,50.0,89.371,24.277,19.0,52.94,31.0,-28.663,0.7081073333188973
