iso3,leader_name,dob,wiki_source,wiki_monitor
AFG,Hibatullah Akhundzada,1967-10-19,https://en.wikipedia.org/wiki/Hibatullah_Akhundzada,https://en.wikipedia.org/wiki/Supreme_Leader_of_Afghanistan
AGO,João Lourenço,1954-03-05,https://en.wikipedia.org/wiki/Jo%C3%A3o_Louren%C3%A7o,https://en.wikipedia.org/wiki/President_of_Angola
ALB,Edi Rama,1964-07-04,https://en.wikipedia.org/wiki/Edi_Rama,https://en.wikipedia.org/wiki/Prime_Minister_of_Albania
AND,Xavier Espot Zamora,1979-10-30,https://en.wikipedia.org/wiki/Xavier_Espot_Zamora,https://en.wikipedia.org/wiki/List_of_heads_of_government_of_Andorra
ARE,Mohamed bin Zayed Al Nahyan,1961-03-11,https://en.wikipedia.org/wiki/Mohamed_bin_Zayed_Al_Nahyan,https://en.wikipedia.org/wiki/President_of_the_United_Arab_Emirates
ARG,Javier Milei,1970-10-22,http://en.wikipedia.org/wiki/Javier_Milei,https://en.wikipedia.org/wiki/President_of_Argentina
ARM,Nikol Pashinyan,1975-06-01,https://en.wikipedia.org/wiki/Nikol_Pashinyan,https://en.wikipedia.org/wiki/Prime_Minister_of_Armenia
ATG,Gaston Browne,1967-02-09,https://en.wikipedia.org/wiki/Gaston_Browne,https://en.wikipedia.org/wiki/Prime_Minister_of_Antigua_and_Barbuda
AUS,Anthony Albanese,1963-03-02,https://en.wikipedia.org/wiki/Anthony_Albanese,https://en.wikipedia.org/wiki/Prime_Minister_of_Australia
AUT,Christian Stocker,1960-03-20,https://en.wikipedia.org/wiki/Christian_Stocker,https://en.wikipedia.org/wiki/Chancellor_of_Austria
AZE,Ilham Aliyev,1961-12-24,https://en.wikipedia.org/wiki/Ilham_Aliyev,https://en.wikipedia.org/wiki/President_of_Azerbaijan
BDI,Évariste Ndayishimiye,1968-06-17,https://en.wikipedia.org/wiki/%C3%89variste_Ndayishimiye,https://en.wikipedia.org/wiki/President_of_Burundi
BEL,Bart De Wever,1970-12-21,https://en.wikipedia.org/wiki/Bart_De_Wever,https://en.wikipedia.org/wiki/Prime_Minister_of_Belgium
BEN,Romuald Wadagni,1976-06-20,https://en.wikipedia.org/wiki/Romuald_Wadagni,https://en.wikipedia.org/wiki/President_of_Benin
BFA,Ibrahim Traoré,1988-03-14,https://en.wikipedia.org/wiki/Ibrahim_Traor%C3%A9,https://en.wikipedia.org/wiki/List_of_heads_of_state_of_Burkina_Faso
BGD,Tarique Rahman,1968-11-20,https://en.wikipedia.org/wiki/Tarique_Rahman,https://en.wikipedia.org/wiki/Prime_Minister_of_Bangladesh
BGR,Rumen Radev,1963-06-18,http://en.wikipedia.org/wiki/Rumen_Radev,https://en.wikipedia.org/wiki/Prime_Minister_of_Bulgaria
BHR,Hamad bin Isa Al Khalifa,1958-01-28,https://en.wikipedia.org/wiki/Hamad_bin_Isa_Al_Khalifa,https://en.wikipedia.org/wiki/King_of_Bahrain
BHS,Philip Davis,1951-06-07,https://en.wikipedia.org/wiki/Philip_Davis_(Bahamian_politician),https://en.wikipedia.org/wiki/Prime_Minister_of_the_Bahamas
BIH,Denis Bećirović,1975-11-28,https://en.wikipedia.org/wiki/Denis_Be%C4%87irovi%C4%87,https://en.wikipedia.org/wiki/Presidency_of_Bosnia_and_Herzegovina
BIH,Željka Cvijanović,1967-03-04,https://en.wikipedia.org/wiki/%C5%BDeljka_Cvijanovi%C4%87,https://en.wikipedia.org/wiki/Presidency_of_Bosnia_and_Herzegovina
BIH,Željko Komšić,1964-01-20,https://en.wikipedia.org/wiki/%C5%BDeljko_Kom%C5%A1i%C4%87,https://en.wikipedia.org/wiki/Presidency_of_Bosnia_and_Herzegovina
BLR,Alexander Lukashenko,1954-08-30,https://en.wikipedia.org/wiki/Alexander_Lukashenko,https://en.wikipedia.org/wiki/President_of_Belarus
BLZ,Johnny Briceño,1960-07-17,https://en.wikipedia.org/wiki/Johnny_Brice%C3%B1o,https://en.wikipedia.org/wiki/List_of_prime_ministers_of_Belize
BOL,Rodrigo Paz,1967-09-22,https://en.wikipedia.org/wiki/Rodrigo_Paz,https://en.wikipedia.org/wiki/President_of_Bolivia
BRA,Lula,1945-10-27,https://en.wikipedia.org/wiki/Luiz_In%C3%A1cio_Lula_da_Silva,https://en.wikipedia.org/wiki/President_of_Brazil
BRB,Mia Mottley,1965-10-01,https://en.wikipedia.org/wiki/Mia_Mottley,https://en.wikipedia.org/wiki/Prime_Minister_of_Barbados
BRN,Hassanal Bolkiah,1946-07-15,https://en.wikipedia.org/wiki/Hassanal_Bolkiah,https://en.wikipedia.org/wiki/Sultan_of_Brunei
BTN,Tshering Tobgay,1965-09-19,https://en.wikipedia.org/wiki/Tshering_Tobgay,https://en.wikipedia.org/wiki/List_of_prime_ministers_of_Bhutan
BWA,Duma Boko,1969-12-31,https://en.wikipedia.org/wiki/Duma_Boko,https://en.wikipedia.org/wiki/President_of_Botswana
CAF,Faustin-Archange Touadéra,1957-04-21,https://en.wikipedia.org/wiki/Faustin-Archange_Touad%C3%A9ra,https://en.wikipedia.org/wiki/List_of_heads_of_state_of_the_Central_African_Republic
CAN,Mark Carney,1965-03-16,https://en.wikipedia.org/wiki/Mark_Carney,https://en.wikipedia.org/wiki/Prime_Minister_of_Canada
